"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","calib_acc","sample"
"binOCT","soybean-small_enc.csv",35,3,0.1,600,2,0.0,1.0,0.0,1.0,1.073946237564087,0,0,0,0,1.0,1.0,4
"OCT","soybean-small_enc.csv",35,3,0.1,600,2,251.4,1.0,0.07955449482895331,523.0,14.926710844039917,0,0,0,0,1.0,1.0,4
"Cart","soybean-small_enc.csv",35,4,0.1,600,"NA","NA",1.0,"NA","NA",0.0028226375579833984,"NA","NA","NA","NA",1.0,1.0,1
"BendersOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.2999999999999723,1.0,0.0,285.0,3.563448905944824,1.031606674194336,0.9864497184753418,36,26,1.0,1.0,1
"FlowOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,1.0,7.542986154556274,0,0,0,0,1.0,1.0,1
"binOCT","soybean-small_enc.csv",35,4,0.1,600,2,0.0,1.0,0.0,1.0,2.5882177352905273,0,0,0,0,1.0,1.0,1
"OCT","soybean-small_enc.csv",35,4,0.1,600,2,503.1,1.0,0.09938382031405286,513.0,44.14037561416626,0,0,0,0,1.0,1.0,1
"Cart","soybean-small_enc.csv",35,4,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,2
"BendersOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,99.0,2.189300537109375,0.9202272891998291,0.8939037322998047,25,18,1.0,1.0,2
"FlowOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,1.0,3.5036725997924805,0,0,0,0,1.0,1.0,2
"binOCT","soybean-small_enc.csv",35,4,0.1,600,2,0.0,1.0,0.0,1.0,2.562375068664551,0,0,0,0,1.0,1.0,2
"OCT","soybean-small_enc.csv",35,4,0.1,600,2,503.2,1.0,0.07949125596185098,526.0,62.63042140007019,0,0,0,0,1.0,1.0,2
"Cart","soybean-small_enc.csv",35,4,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,3
"BendersOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,232.0,2.5603652000427246,1.1069746017456055,1.0851268768310547,29,22,1.0,1.0,3
"FlowOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.2999999999999723,1.0,0.0,1.0,1.7593472003936768,0,0,0,0,1.0,1.0,3
"binOCT","soybean-small_enc.csv",35,4,0.1,600,2,0.0,1.0,0.0,1.0,2.4288978576660156,0,0,0,0,1.0,1.0,3
"OCT","soybean-small_enc.csv",35,4,0.1,600,2,503.2,1.0,0.07949125596185098,1.0,31.903297662734985,0,0,0,0,1.0,1.0,3
"Cart","soybean-small_enc.csv",35,4,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,4
"BendersOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,92.0,2.080512762069702,0.7711920738220215,0.7502574920654297,22,16,1.0,1.0,4
"FlowOCT","soybean-small_enc.csv",35,4,0.1,600,2,-0.29999999999997584,1.0,0.0,19.0,5.90003228187561,0,0,0,0,1.0,1.0,4
"binOCT","soybean-small_enc.csv",35,4,0.1,600,2,0.0,1.0,0.0,1.0,1.9479775428771973,0,0,0,0,1.0,1.0,4
"OCT","soybean-small_enc.csv",35,4,0.1,600,2,503.1,1.0,0.09938382031405286,381.0,52.13695311546326,0,0,0,0,1.0,1.0,4
"Cart","soybean-small_enc.csv",35,5,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,1
"BendersOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.29999999999997584,1.0,0.0,218.0,3.8399901390075684,0.975644588470459,0.9604601860046387,29,23,1.0,1.0,1
"FlowOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.2999999999999723,1.0,0.0,1.0,12.540095806121826,0,0,0,0,1.0,1.0,1
"binOCT","soybean-small_enc.csv",35,5,0.1,600,2,0.0,1.0,0.0,1.0,5.057816028594971,0,0,0,0,0.8333333333333334,1.0,1
"OCT","soybean-small_enc.csv",35,5,0.1,600,2,1006.5,1.0,0.09935419771485346,1.0,432.90425300598145,0,0,0,0,0.9166666666666666,1.0,1
"Cart","soybean-small_enc.csv",35,5,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,2
"BendersOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.29999999999997584,1.0,0.0,267.0,2.731602907180786,0.8711879253387451,0.8572168350219727,38,30,1.0,1.0,2
"FlowOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.300000000000054,1.0,0.0,1.0,14.986818075180054,0,0,0,0,1.0,1.0,2
"binOCT","soybean-small_enc.csv",35,5,0.1,600,2,0.0,1.0,0.0,1.0,3.203049898147583,0,0,0,0,0.75,1.0,2
"OCT","soybean-small_enc.csv",35,5,0.1,600,2,1007.0,1.0,0.059582919563060846,82.0,94.69491696357727,0,0,0,0,1.0,1.0,2
"Cart","soybean-small_enc.csv",35,5,0.1,600,"NA","NA",1.0,"NA","NA",0.0,"NA","NA","NA","NA",1.0,1.0,3
"BendersOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.29999999999997584,1.0,0.0,171.0,2.1746256351470947,0.3797788619995117,0.3688199520111084,20,14,1.0,1.0,3
"FlowOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.2999999999999723,1.0,0.0,1.0,8.636093139648438,0,0,0,0,1.0,1.0,3
"binOCT","soybean-small_enc.csv",35,5,0.1,600,2,0.0,1.0,0.0,1.0,3.21636962890625,0,0,0,0,0.8333333333333334,1.0,3
"OCT","soybean-small_enc.csv",35,5,0.1,600,2,1006.6,1.0,0.09934432743890324,28.0,100.10640335083008,0,0,0,0,1.0,1.0,3
"Cart","soybean-small_enc.csv",35,5,0.1,600,"NA","NA",1.0,"NA","NA",0.00801706314086914,"NA","NA","NA","NA",1.0,1.0,4
"BendersOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.29999999999997584,1.0,0.0,142.0,2.2068896293640137,0.6199400424957275,0.6149308681488037,27,22,1.0,1.0,4
"FlowOCT","soybean-small_enc.csv",35,5,0.1,600,2,-0.29999999999997584,1.0,0.0,1.0,9.295950889587402,0,0,0,0,1.0,1.0,4
"binOCT","soybean-small_enc.csv",35,5,0.1,600,2,0.0,1.0,0.0,1.0,3.1708168983459473,0,0,0,0,1.0,1.0,4
"OCT","soybean-small_enc.csv",35,5,0.1,600,2,1006.8,1.0,0.07945967421534249,82.0,90.19933652877808,0,0,0,0,1.0,1.0,4
"Cart","breast-cancer_enc.csv",207,2,0.1,600,"NA","NA",0.7053140096618358,"NA","NA",0.0,"NA","NA","NA","NA",0.7142857142857143,0.7391304347826086,1
"BendersOCT","breast-cancer_enc.csv",207,2,0.1,600,2,-42.600000000000676,0.7729468599033816,0.0,6243.0,13.347840547561646,1.3043625354766846,1.2153775691986084,38,27,0.7285714285714285,0.8115942028985508,1
"FlowOCT","breast-cancer_enc.csv",207,2,0.1,600,2,-42.600000000000676,0.7729468599033816,0.0,7797.0,29.956184148788452,0,0,0,0,0.7285714285714285,0.8115942028985508,1
"binOCT","breast-cancer_enc.csv",207,2,0.1,600,2,47.0,0.7729468599033816,0.09671179883947628,56396.0,111.76996493339539,0,0,0,0,0.7285714285714285,0.8115942028985508,1
"OCT","breast-cancer_enc.csv",207,2,0.1,600,2,702.6,0.7729468599033816,0.09962994591517868,3623.0,91.34709978103638,0,0,0,0,0.7285714285714285,0.7971014492753623,1
"Cart","breast-cancer_enc.csv",207,2,0.1,600,"NA","NA",0.6908212560386473,"NA","NA",0.001995086669921875,"NA","NA","NA","NA",0.7571428571428571,0.6956521739130435,2
"BendersOCT","breast-cancer_enc.csv",207,2,0.1,600,2,-38.100000000000705,0.7971014492753623,0.022713506966338087,4654.0,17.736583471298218,1.3777682781219482,1.2948272228240967,45,36,0.6571428571428571,0.782608695652174,2
"FlowOCT","breast-cancer_enc.csv",207,2,0.1,600,2,-38.100000000000676,0.7971014492753623,0.0,5919.0,28.06829524040222,0,0,0,0,0.6571428571428571,0.782608695652174,2
"binOCT","breast-cancer_enc.csv",207,2,0.1,600,2,42.0,0.7971014492753623,0.08012820512822336,44127.0,103.74134874343872,0,0,0,0,0.6571428571428571,0.782608695652174,2
"OCT","breast-cancer_enc.csv",207,2,0.1,600,2,707.1,0.7971014492753623,0.09899589874134429,3008.0,69.10922431945801,0,0,0,0,0.6571428571428571,0.782608695652174,2
"Cart","breast-cancer_enc.csv",207,2,0.1,600,"NA","NA",0.7101449275362319,"NA","NA",0.001994609832763672,"NA","NA","NA","NA",0.7,0.7246376811594203,3
"BendersOCT","breast-cancer_enc.csv",207,2,0.1,600,2,-38.10000000000073,0.7971014492753623,0.0,5310.0,13.245714664459229,1.3931512832641602,1.2764694690704346,51,39,0.7142857142857143,0.8260869565217391,3
"FlowOCT","breast-cancer_enc.csv",207,2,0.1,600,2,-38.100000000000705,0.7971014492753623,0.0,6634.0,29.57573890686035,0,0,0,0,0.7142857142857143,0.8260869565217391,3
"binOCT","breast-cancer_enc.csv",207,2,0.1,600,2,42.0,0.7971014492753623,0.07309481891345135,40103.0,94.83067154884338,0,0,0,0,0.7142857142857143,0.8260869565217391,3
"OCT","breast-cancer_enc.csv",207,2,0.1,600,2,707.1,0.7971014492753623,0.09899589874134429,3384.0,82.99169707298279,0,0,0,0,0.7142857142857143,0.8260869565217391,3
"Cart","breast-cancer_enc.csv",207,2,0.1,600,"NA","NA",0.7198067632850241,"NA","NA",0.001995563507080078,"NA","NA","NA","NA",0.6714285714285714,0.6956521739130435,4
"BendersOCT","breast-cancer_enc.csv",207,2,0.1,600,2,-40.80000000000072,0.782608695652174,0.0,7431.0,13.991454124450684,1.1481897830963135,1.093782663345337,39,31,0.7285714285714285,0.7536231884057971,4
"FlowOCT","breast-cancer_enc.csv",207,2,0.1,600,2,-40.80000000000072,0.782608695652174,0.0,8710.0,32.75178360939026,0,0,0,0,0.7285714285714285,0.7536231884057971,4
"binOCT","breast-cancer_enc.csv",207,2,0.1,600,2,45.0,0.782608695652174,0.0,54274.0,109.14041042327881,0,0,0,0,0.7285714285714285,0.7536231884057971,4
"OCT","breast-cancer_enc.csv",207,2,0.1,600,2,704.4000000000001,0.782608695652174,0.09937535491197212,4700.0,84.45926976203918,0,0,0,0,0.7285714285714285,0.7536231884057971,4
"Cart","breast-cancer_enc.csv",207,3,0.1,600,"NA","NA",0.7053140096618358,"NA","NA",0.0029914379119873047,"NA","NA","NA","NA",0.7142857142857143,0.7391304347826086,1
