,approach,dataset,nrow,depth,lambda,time_limit,status,obj_value,train_acc,gap,node_count,solving_time,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc,test_acc,calib_acc,sample
220,Cart,kr-vs-kp_enc.csv,2397,5,0.1,600,,,0.9027951606174384,,,0.005980491638183594,,,,,0.9086357947434291,0.8939393939393939,1
225,Cart,kr-vs-kp_enc.csv,2397,5,0.1,600,,,0.9107217355027116,,,0.03707289695739746,,,,,0.8848560700876095,0.904040404040404,2
230,Cart,kr-vs-kp_enc.csv,2397,5,0.1,600,,,0.902377972465582,,,0.01795816421508789,,,,,0.9098873591989988,0.9090909090909092,3
235,Cart,kr-vs-kp_enc.csv,2397,5,0.1,600,,,0.902377972465582,,,0.026955366134643555,,,,,0.9098873591989988,0.9002525252525253,4
240,Cart,monk1_enc.csv,93,2,0.1,600,,,0.7311827956989247,,,0.0029926300048828125,,,,,0.7419354838709677,0.7741935483870968,1
245,Cart,monk1_enc.csv,93,2,0.1,600,,,0.7634408602150538,,,0.003975152969360352,,,,,0.6451612903225806,0.8064516129032258,2
250,Cart,monk1_enc.csv,93,2,0.1,600,,,0.7096774193548387,,,0.0029807090759277344,,,,,0.8064516129032258,0.7419354838709677,3
255,Cart,monk1_enc.csv,93,2,0.1,600,,,0.7741935483870968,,,0.001979351043701172,,,,,0.6129032258064516,0.8064516129032258,4
260,Cart,monk1_enc.csv,93,3,0.1,600,,,0.7311827956989247,,,0.003988504409790039,,,,,0.7419354838709677,0.7741935483870968,1
265,Cart,monk1_enc.csv,93,3,0.1,600,,,0.7634408602150538,,,0.002993106842041016,,,,,0.6451612903225806,0.8064516129032258,2
270,Cart,monk1_enc.csv,93,3,0.1,600,,,0.7096774193548387,,,0.001992940902709961,,,,,0.8064516129032258,0.7419354838709677,3
275,Cart,monk1_enc.csv,93,3,0.1,600,,,0.7741935483870968,,,0.001995086669921875,,,,,0.6129032258064516,0.8064516129032258,4
280,Cart,monk1_enc.csv,93,4,0.1,600,,,0.7311827956989247,,,0.000997781753540039,,,,,0.7419354838709677,0.7741935483870968,1
285,Cart,monk1_enc.csv,93,4,0.1,600,,,0.7634408602150538,,,0.001990079879760742,,,,,0.6451612903225806,0.8064516129032258,2
290,Cart,monk1_enc.csv,93,4,0.1,600,,,0.7096774193548387,,,0.001992464065551758,,,,,0.8064516129032258,0.7419354838709677,3
295,Cart,monk1_enc.csv,93,4,0.1,600,,,0.7741935483870968,,,0.003029823303222656,,,,,0.6129032258064516,0.8064516129032258,4
300,Cart,monk1_enc.csv,93,5,0.1,600,,,0.7311827956989247,,,0.001961708068847656,,,,,0.7419354838709677,0.7741935483870968,1
305,Cart,monk1_enc.csv,93,5,0.1,600,,,0.7634408602150538,,,0.0029900074005126953,,,,,0.6451612903225806,0.8064516129032258,2
310,Cart,monk1_enc.csv,93,5,0.1,600,,,0.7096774193548387,,,0.0019919872283935547,,,,,0.8064516129032258,0.7419354838709677,3
