approach,dataset,depth,obs_count,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_solv_time,std_solve_time,mean_gap,std_gap,mean_train_cart,mean_test_cart,enc_features
BendersOCT,monk1_enc.csv,5,93,1.0,0.0,1.0,0.0,8.720710396766663,3.217712876041649,0.0,0.0,0.8870967741935485,0.7661290322580645,16
BendersOCT,soybean-small_enc.csv,2,35,1.0,0.0,1.0,0.0,1.0303213000297546,0.2633147454098737,0.0,0.0,0.8357142857142857,0.6458333333333334,46
BendersOCT,soybean-small_enc.csv,3,35,1.0,0.0,1.0,0.0,2.1250515580177307,0.5556381073237002,0.0,0.0,1.0,1.0,46
BendersOCT,soybean-small_enc.csv,4,35,1.0,0.0,1.0,0.0,2.5984068512916565,0.6753605452975476,0.0,0.0,1.0,1.0,46
BendersOCT,soybean-small_enc.csv,5,35,1.0,0.0,1.0,0.0,2.7382770776748657,0.7775799600788794,0.0,0.0,1.0,1.0,46
Cart,balance-scale_enc.csv,2,468,0.6800213675213675,0.008252585631236821,0.6863057324840763,0.024600064174642187,0.0014951825141906738,0.0005764137326657572,0.0,0.0,0.6800213675213675,0.6863057324840763,21
Cart,balance-scale_enc.csv,3,468,0.7013888888888888,0.019844204723297718,0.697452229299363,0.01980335255432869,0.004239439964294434,0.0026247501445480007,0.0,0.0,0.7013888888888888,0.697452229299363,21
Cart,balance-scale_enc.csv,4,468,0.7232905982905983,0.030343886615585156,0.697452229299363,0.02354678663781192,0.0034921765327453613,0.0017268118809222015,0.0,0.0,0.7232905982905983,0.697452229299363,21
Cart,balance-scale_enc.csv,5,468,0.7916666666666666,0.007899242525932642,0.7292993630573248,0.029648068033479764,0.003988504409790039,0.0014107406564678128,0.0,0.0,0.7916666666666666,0.7292993630573248,21
Cart,breast-cancer_enc.csv,2,207,0.7765700483091786,0.012077294685990336,0.7428571428571429,0.05345224838248488,0.003735065460205078,0.0012543335662952252,0.0,0.0,0.7765700483091786,0.7428571428571429,39
Cart,breast-cancer_enc.csv,3,207,0.7934782608695652,0.007246376811594106,0.7071428571428571,0.042857142857142844,0.002994537353515625,0.0018239995830655205,0.0,0.0,0.7934782608695652,0.7071428571428571,39
Cart,breast-cancer_enc.csv,4,207,0.8200483091787439,0.00462525172829152,0.7178571428571429,0.024397501823713356,0.005233287811279297,0.0028622391883893956,0.0,0.0,0.8200483091787439,0.7178571428571429,39
Cart,breast-cancer_enc.csv,5,207,0.8538647342995169,0.008250362935555214,0.7250000000000001,0.03571428571428572,0.003990828990936279,0.0023076624087548974,0.0,0.0,0.8538647342995169,0.7250000000000001,39
Cart,car_evaluation_enc.csv,2,1296,0.7816358024691359,0.0032736425054933006,0.7662037037037037,0.009820927516479798,0.003236711025238037,0.0012580889054812888,0.0,0.0,0.7816358024691359,0.7662037037037037,20
Cart,car_evaluation_enc.csv,3,1296,0.8097993827160493,0.0049806884596288485,0.7928240740740741,0.014942065378886602,0.002985537052154541,0.0008074129664014149,0.0,0.0,0.8097993827160493,0.7928240740740741,20
Cart,car_evaluation_enc.csv,4,1296,0.8225308641975309,0.009820927516479849,0.7962962962962963,0.0032736425054933687,0.0032390952110290527,0.0009536079815801663,0.0,0.0,0.8225308641975309,0.7962962962962963,20
Cart,car_evaluation_enc.csv,5,1296,0.8682484567901234,0.011188271604938255,0.859375,0.025871788162498414,0.005485653877258301,0.003506562142912668,0.0,0.0,0.8682484567901234,0.859375,20
Cart,kr-vs-kp_enc.csv,2,2397,0.7743012098456403,0.01319264772702705,0.7643929912390488,0.012107444189346226,0.003982365131378174,0.0008146627455676563,0.0,0.0,0.7743012098456403,0.7643929912390488,39
Cart,kr-vs-kp_enc.csv,3,2397,0.9045682102628285,0.004107061445034679,0.9033166458072591,0.012321184335104169,0.005482614040374756,0.0017285079337382779,0.0,0.0,0.9045682102628285,0.9033166458072591,39
Cart,kr-vs-kp_enc.csv,4,2397,0.9424280350438048,0.003777799390128315,0.9361702127659575,0.011333398170384788,0.006230294704437256,0.0020553803424259165,0.0,0.0,0.9424280350438048,0.9361702127659575,39
Cart,kr-vs-kp_enc.csv,5,2397,0.9424280350438048,0.003777799390128315,0.9361702127659575,0.011333398170384788,0.007478952407836914,0.0017058040869424478,0.0,0.0,0.9424280350438048,0.9361702127659575,39
Cart,monk1_enc.csv,2,93,0.7688172043010753,0.006208067410641116,0.6612903225806451,0.04164498221728411,0.002731800079345703,0.0004926017492369583,0.0,0.0,0.7688172043010753,0.6612903225806451,16
Cart,monk1_enc.csv,3,93,0.881720430107527,0.05119303533005627,0.782258064516129,0.03088474541149475,0.00348740816116333,0.0012874871176858048,0.0,0.0,0.881720430107527,0.782258064516129,16
Cart,monk1_enc.csv,4,93,0.881720430107527,0.05119303533005627,0.782258064516129,0.03088474541149475,0.002243638038635254,0.0004971033472900553,0.0,0.0,0.881720430107527,0.782258064516129,16
Cart,monk1_enc.csv,5,93,0.8870967741935485,0.04848655648196661,0.7661290322580645,0.048387096774193505,0.0024919509887695312,0.000995318481973601,0.0,0.0,0.8870967741935485,0.7661290322580645,16
Cart,soybean-small_enc.csv,2,35,0.8357142857142857,0.027355060221609655,0.6458333333333334,0.07978559231302819,0.0032439827919006348,0.0009625819439714312,0.0,0.0,0.8357142857142857,0.6458333333333334,46
Cart,soybean-small_enc.csv,3,35,1.0,0.0,1.0,0.0,0.0029930472373962402,0.0008127604007645773,0.0,0.0,1.0,1.0,46
Cart,soybean-small_enc.csv,4,35,1.0,0.0,1.0,0.0,0.002742946147918701,0.0014982734861936423,0.0,0.0,1.0,1.0,46
Cart,soybean-small_enc.csv,5,35,1.0,0.0,1.0,0.0,0.0024929046630859375,0.0009961142120729041,0.0,0.0,1.0,1.0,46
FlowOCT,balance-scale_enc.csv,2,468,0.6816239316239316,0.00971380462748282,0.6815286624203821,0.02895579978128631,14.617984116077423,4.783461670002541,0.009363295880593902,0.018726591761187805,0.6800213675213675,0.6863057324840763,21
FlowOCT,balance-scale_enc.csv,3,468,0.7355769230769231,0.006380510280330845,0.7181528662420382,0.024600064174642246,601.4681683182716,0.1503613460557907,48.9181651573225,1.6413507259994373,0.7013888888888888,0.697452229299363,21
FlowOCT,balance-scale_enc.csv,4,468,0.7697649572649572,0.013329748769382385,0.7308917197452229,0.026197372992044787,602.9599251151085,0.47240592182665436,99.47878537247811,0.08405337833058116,0.7232905982905983,0.697452229299363,21
FlowOCT,balance-scale_enc.csv,5,468,0.8092948717948718,0.008613523235361667,0.7579617834394904,0.034886787102239955,605.6638776063919,0.18394673428403013,99.53882664131744,0.039697373800562624,0.7916666666666666,0.7292993630573248,21
FlowOCT,breast-cancer_enc.csv,2,207,0.78743961352657,0.011833283781561245,0.7071428571428572,0.03400680204068024,30.08800047636032,1.9540332033832415,0.0,0.0,0.7765700483091786,0.7428571428571429,39
FlowOCT,breast-cancer_enc.csv,3,207,0.8212560386473431,0.006831949576681618,0.7071428571428571,0.027355060221609686,600.8391445875168,0.052891398948671974,96.70151065216416,2.090367172065773,0.7934782608695652,0.7071428571428571,39
FlowOCT,breast-cancer_enc.csv,4,207,0.8599033816425121,0.007888855854374162,0.6392857142857142,0.07130942443748545,603.653073489666,3.252649018986418,98.7381533579487,0.05787142995161583,0.8200483091787439,0.7178571428571429,39
FlowOCT,breast-cancer_enc.csv,5,207,0.8913043478260869,0.015019934062944999,0.6892857142857143,0.029450754468697556,604.6336587071419,1.465502988781471,98.49703317489222,0.20859660037825628,0.8538647342995169,0.7250000000000001,39
