approach,dataset,nrow,depth,lambda,time_limit,status,obj_value,train_acc,gap,node_count,solving_time,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc,test_acc,calib_acc,sample,warmstart
FlowOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,35022.0,114.44450402259828,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
binOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,0.0,1.0,0.0,211170.0,228.3857448101044,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
OCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,600.0,1.0,0.0,12793.0,211.24932837486267,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
BendersOCT,synthetic100_10_4.csv,75,4,0.0,600,9.0,-1.0,0.9866666666666668,99.99999999999996,371534.0,600.0349636077881,1.2032291889190674,1.0978631973266602,113.0,94.0,0.84,1.0,1,1.0
Cart,synthetic100_10_4.csv,75,4,0.0,600,,,0.9333333333333332,,,0.0009946823120117,,,,,0.72,0.92,1,
FlowOCT,synthetic100_10_4.csv,75,4,0.0,600,9.0,-1.0,0.9866666666666668,99.99999999999574,146917.0,600.4264802932739,0.0,0.0,0.0,0.0,0.84,1.0,1,1.0
binOCT,synthetic100_10_4.csv,75,4,0.0,600,9.0,3.999998589635293,0.9466666666666668,99.99999999999996,700442.0,600.7936918735504,0.0,0.0,0.0,0.0,0.8,0.96,1,1.0
OCT,synthetic100_10_4.csv,75,4,0.0,600,2.0,1199.0,0.9866666666666668,0.0834028356964136,2665.0,49.38288378715515,0.0,0.0,0.0,0.0,0.92,1.0,1,1.0
BendersOCT,synthetic100_10_4.csv,75,4,0.0,600,9.0,-1.0,0.9866666666666668,100.0,330095.0,600.0300583839417,1.353276014328003,1.2420730590820312,107.0,90.0,0.96,1.0,2,1.0
Cart,synthetic100_10_4.csv,75,4,0.0,600,,,0.9066666666666666,,,0.0019943714141845,,,,,0.8,0.96,2,
FlowOCT,synthetic100_10_4.csv,75,4,0.0,600,9.0,-0.9999886667666118,0.9866666666666668,99.99999999999147,155655.0,600.3861532211304,0.0,0.0,0.0,0.0,0.88,1.0,2,1.0
binOCT,synthetic100_10_4.csv,75,4,0.0,600,9.0,2.9999980805999997,0.96,99.99999999999996,427002.0,600.8014113903046,0.0,0.0,0.0,0.0,0.8,1.0,2,1.0
OCT,synthetic100_10_4.csv,75,4,0.0,600,2.0,1199.0,0.9866666666666668,0.0834028356964136,2506.0,54.2526957988739,0.0,0.0,0.0,0.0,0.92,1.0,2,1.0
BendersOCT,synthetic100_10_4.csv,75,4,0.0,600,9.0,-1.0,0.9866666666666668,100.0,542219.0,600.0208690166473,1.0437846183776855,1.006924390792847,79.0,68.0,0.84,1.0,3,1.0
Cart,synthetic100_10_4.csv,75,4,0.0,600,,,0.9333333333333332,,,0.0019958019256591,,,,,0.92,0.92,3,
FlowOCT,synthetic100_10_4.csv,75,4,0.0,600,2.0,-0.0,1.0,0.0,22936.0,160.49114274978638,0.0,0.0,0.0,0.0,0.96,1.0,3,1.0
binOCT,synthetic100_10_4.csv,75,4,0.0,600,9.0,0.9999999998,0.9866666666666668,99.9999999999999,421069.0,600.9146053791046,0.0,0.0,0.0,0.0,0.88,1.0,3,1.0
OCT,synthetic100_10_4.csv,75,4,0.0,600,9.0,1197.0,0.96,0.2506265664160401,33962.0,600.7527332305908,0.0,0.0,0.0,0.0,0.8,0.96,3,1.0
BendersOCT,synthetic100_10_4.csv,75,4,0.0,600,2.0,-0.0,1.0,0.0,2372.0,5.904682397842407,1.0898754596710205,1.0163209438323977,71.0,61.0,1.0,1.0,4,1.0
Cart,synthetic100_10_4.csv,75,4,0.0,600,,,0.96,,,0.0029938220977783,,,,,0.72,0.96,4,
FlowOCT,synthetic100_10_4.csv,75,4,0.0,600,2.0,-0.0,1.0,0.0,21664.0,115.64265632629396,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
binOCT,synthetic100_10_4.csv,75,4,0.0,600,9.0,1.999999999999988,0.9733333333333334,100.0,540382.0,600.8035778999329,0.0,0.0,0.0,0.0,0.72,0.96,4,1.0
OCT,synthetic100_10_4.csv,75,4,0.0,600,2.0,1199.0,0.9866666666666668,0.0834028356963947,22701.0,498.06842517852783,0.0,0.0,0.0,0.0,0.88,0.96,4,1.0
BendersOCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,14310.0,38.73686408996582,2.4522740840911865,2.359886646270752,136.0,122.0,0.84,1.0,1,1.0
Cart,synthetic100_10_5.csv,75,5,0.0,600,,,0.9066666666666666,,,0.0029571056365966,,,,,0.76,0.96,1,
FlowOCT,synthetic100_10_5.csv,75,5,0.0,600,9.0,-1.999989810636592,0.9733333333333334,99.99999999999504,105398.0,600.8141779899597,0.0,0.0,0.0,0.0,0.84,1.0,1,1.0
binOCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,0.0,1.0,0.0,7567.0,34.92539930343628,0.0,0.0,0.0,0.0,0.76,1.0,1,1.0
OCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,2398.0,0.9733333333333334,0.0834028356964136,2486.0,122.65764737129211,0.0,0.0,0.0,0.0,0.8,1.0,1,1.0
BendersOCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,10520.0,31.615421295166016,2.3552398681640625,2.250584125518799,146.0,129.0,0.92,1.0,2,1.0
Cart,synthetic100_10_5.csv,75,5,0.0,600,,,0.88,,,0.0019938945770263,,,,,0.68,0.92,2,
FlowOCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,17286.0,222.79889845848083,0.0,0.0,0.0,0.0,0.8,1.0,2,1.0
binOCT,synthetic100_10_5.csv,75,5,0.0,600,9.0,0.999999999784615,0.9866666666666668,99.99999999999996,246079.0,602.1027927398682,0.0,0.0,0.0,0.0,0.92,1.0,2,1.0
OCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,2398.0,0.9733333333333334,0.0834028356964136,2274.0,131.14691543579102,0.0,0.0,0.0,0.0,0.84,0.96,2,1.0
BendersOCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,29147.0,101.27697801589966,2.545775413513184,2.480635404586792,159.0,148.0,0.84,1.0,3,1.0
Cart,synthetic100_10_5.csv,75,5,0.0,600,,,0.9466666666666668,,,0.0020339488983154,,,,,0.84,0.96,3,
FlowOCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,1401.0,56.40912747383118,0.0,0.0,0.0,0.0,0.84,1.0,3,1.0
binOCT,synthetic100_10_5.csv,75,5,0.0,600,9.0,1.0,0.9866666666666668,99.99999999999991,253314.0,602.0979235172272,0.0,0.0,0.0,0.0,0.84,0.96,3,1.0
OCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,2399.0,0.9866666666666668,0.0416840350145894,5010.0,172.62461471557617,0.0,0.0,0.0,0.0,0.88,0.96,3,1.0
BendersOCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,44660.0,114.02916312217712,2.6302266120910645,2.530186176300049,151.0,136.0,0.8,1.0,4,1.0
Cart,synthetic100_10_5.csv,75,5,0.0,600,,,0.92,,,0.0010340213775634,,,,,0.64,0.96,4,
FlowOCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,19482.0,149.5096492767334,0.0,0.0,0.0,0.0,0.96,1.0,4,1.0
binOCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,0.0,1.0,0.0,49476.0,97.46741676330566,0.0,0.0,0.0,0.0,0.72,1.0,4,1.0
OCT,synthetic100_10_5.csv,75,5,0.0,600,2.0,2398.0,0.9733333333333334,0.0834028356963947,5934.0,271.49870109558105,0.0,0.0,0.0,0.0,0.68,0.96,4,1.0
BendersOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,235.0,1.4148805141448977,0.4257981777191162,0.3869085311889648,30.0,23.0,1.0,1.0,1,1.0
Cart,synthetic100_30_2.csv,75,2,0.0,600,,,0.8533333333333334,,,0.0029888153076171,,,,,0.84,0.84,1,
FlowOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,490.0,2.5604164600372314,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
binOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,1216.0,3.440622329711914,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
OCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,1681.0,8.259525060653687,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
BendersOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,2373.0,6.055906057357788,0.4016528129577636,0.3720293045043945,36.0,28.0,1.0,1.0,2,1.0
Cart,synthetic100_30_2.csv,75,2,0.0,600,,,0.8666666666666667,,,0.0029623508453369,,,,,0.76,0.88,2,
FlowOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,245.0,1.7758378982543943,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
binOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,3904.0,9.570437908172607,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
OCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,135.0,1.5576703548431396,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
BendersOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,1881.0,6.348517656326294,0.411978006362915,0.4080064296722412,28.0,25.0,1.0,1.0,3,1.0
Cart,synthetic100_30_2.csv,75,2,0.0,600,,,0.8533333333333334,,,0.0019943714141845,,,,,0.72,0.84,3,
FlowOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,505.0,2.314802885055542,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
binOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,2232.0,5.342920303344727,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
OCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,254.0,2.6023483276367188,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
BendersOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,520.0,1.962898015975952,0.4504919052124023,0.4395198822021484,25.0,22.0,1.0,1.0,4,1.0
Cart,synthetic100_30_2.csv,75,2,0.0,600,,,0.8533333333333334,,,0.0029881000518798,,,,,0.8,0.92,4,
FlowOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,1.0,0.3855354785919189,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
binOCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,7571.0,16.935361862182617,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
OCT,synthetic100_30_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,1726.0,4.847986221313477,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
BendersOCT,synthetic100_30_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,140323.0,520.2324306964874,1.2687039375305176,1.126786231994629,71.0,54.0,1.0,1.0,1,1.0
Cart,synthetic100_30_3.csv,75,3,0.0,600,,,0.8666666666666667,,,0.0029783248901367,,,,,0.6,0.88,1,
FlowOCT,synthetic100_30_3.csv,75,3,0.0,600,9.0,-7.0,0.9066666666666666,99.99999999999838,169886.0,600.3632698059082,0.0,0.0,0.0,0.0,0.68,0.96,1,1.0
binOCT,synthetic100_30_3.csv,75,3,0.0,600,9.0,6.9999999999999645,0.9066666666666666,100.0,346781.0,600.8987138271332,0.0,0.0,0.0,0.0,0.64,0.92,1,1.0
OCT,synthetic100_30_3.csv,75,3,0.0,600,9.0,597.0,0.96,0.5025125628140703,21531.0,600.5306694507599,0.0,0.0,0.0,0.0,0.76,1.0,1,1.0
BendersOCT,synthetic100_30_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,5621.0,28.942691564559937,1.2192769050598145,1.1833882331848145,70.0,57.0,1.0,1.0,2,1.0
Cart,synthetic100_30_3.csv,75,3,0.0,600,,,0.8933333333333333,,,0.0019965171813964,,,,,0.84,0.8,2,
FlowOCT,synthetic100_30_3.csv,75,3,0.0,600,9.0,-2.0,0.9733333333333334,99.99999999999574,96790.0,600.3905959129333,0.0,0.0,0.0,0.0,0.84,1.0,2,1.0
binOCT,synthetic100_30_3.csv,75,3,0.0,600,2.0,0.0,1.0,0.0,241947.0,573.179368019104,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
OCT,synthetic100_30_3.csv,75,3,0.0,600,2.0,600.0,1.0,0.0,7107.0,135.3291254043579,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
BendersOCT,synthetic100_30_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,3871.0,17.374653339385986,0.994194746017456,0.9079639911651612,55.0,40.0,1.0,1.0,3,1.0
Cart,synthetic100_30_3.csv,75,3,0.0,600,,,0.8533333333333334,,,0.0019912719726562,,,,,0.68,0.84,3,
FlowOCT,synthetic100_30_3.csv,75,3,0.0,600,9.0,-4.0,0.9466666666666668,99.99999999999643,222647.0,600.3842706680298,0.0,0.0,0.0,0.0,0.72,0.88,3,1.0
binOCT,synthetic100_30_3.csv,75,3,0.0,600,9.0,6.999999660319084,0.9066666666666666,99.99999999999996,362171.0,600.8938837051392,0.0,0.0,0.0,0.0,0.68,0.84,3,1.0
OCT,synthetic100_30_3.csv,75,3,0.0,600,9.0,597.0,0.96,0.5025125628140703,26528.0,600.5557498931885,0.0,0.0,0.0,0.0,0.96,0.92,3,1.0
BendersOCT,synthetic100_30_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,42949.0,118.13045740127563,1.3414099216461182,1.2403779029846191,80.0,64.0,1.0,1.0,4,1.0
Cart,synthetic100_30_3.csv,75,3,0.0,600,,,0.92,,,0.0040082931518554,,,,,0.6,0.88,4,
FlowOCT,synthetic100_30_3.csv,75,3,0.0,600,9.0,-4.0,0.9466666666666668,99.99999999999788,181081.0,600.3484809398651,0.0,0.0,0.0,0.0,0.96,0.92,4,1.0
binOCT,synthetic100_30_3.csv,75,3,0.0,600,9.0,3.9999999999999862,0.9466666666666668,99.99999999999996,337013.0,600.8937900066376,0.0,0.0,0.0,0.0,1.0,0.88,4,1.0
OCT,synthetic100_30_3.csv,75,3,0.0,600,2.0,600.0,1.0,0.0,29726.0,523.1618251800537,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
BendersOCT,synthetic100_30_4.csv,75,4,0.0,600,2.0,-0.0,1.0,0.0,77212.0,416.4713752269745,2.734196901321411,2.578902006149292,132.0,109.0,0.8,1.0,1,1.0
Cart,synthetic100_30_4.csv,75,4,0.0,600,,,0.8266666666666667,,,0.0049901008605957,,,,,0.4,0.84,1,
FlowOCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,-3.0,0.96,99.99999999995272,87946.0,600.800534248352,0.0,0.0,0.0,0.0,0.28,1.0,1,1.0
binOCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,5.0,0.9333333333333332,99.99999999999996,171556.0,602.2966120243073,0.0,0.0,0.0,0.0,0.4,0.92,1,1.0
OCT,synthetic100_30_4.csv,75,4,0.0,600,2.0,1199.0,0.9866666666666668,0.0834028356964136,3438.0,105.94893479347228,0.0,0.0,0.0,0.0,0.64,1.0,1,1.0
BendersOCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,-3.0,0.96,100.0,118916.0,600.0500807762146,2.341956853866577,2.284389019012451,116.0,101.0,0.68,0.96,2,1.0
Cart,synthetic100_30_4.csv,75,4,0.0,600,,,0.8666666666666667,,,0.00498628616333,,,,,0.6,0.8,2,
FlowOCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,-5.0,0.9333333333333332,99.9999999999983,91961.0,600.7560832500458,0.0,0.0,0.0,0.0,0.48,0.92,2,1.0
binOCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,6.999999505610049,0.9066666666666666,99.99999999999996,136173.0,602.4207744598389,0.0,0.0,0.0,0.0,0.6,0.84,2,1.0
OCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,1196.0,0.9466666666666668,0.334448160535117,16375.0,601.6357641220093,0.0,0.0,0.0,0.0,0.52,0.92,2,1.0
BendersOCT,synthetic100_30_4.csv,75,4,0.0,600,2.0,-0.0,1.0,0.0,47864.0,249.92422461509705,2.844996929168701,2.717665672302246,128.0,104.0,0.88,1.0,3,1.0
Cart,synthetic100_30_4.csv,75,4,0.0,600,,,0.9066666666666666,,,0.0039901733398437,,,,,0.68,0.96,3,
FlowOCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,-2.9999998333333338,0.96,99.999999999991,75505.0,600.7661106586456,0.0,0.0,0.0,0.0,0.76,1.0,3,1.0
binOCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,2.999999646227937,0.96,99.99999999999996,102234.0,602.3193528652191,0.0,0.0,0.0,0.0,0.76,0.88,3,1.0
OCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,1196.0,0.9466666666666668,0.334448160535117,33763.0,601.6241569519043,0.0,0.0,0.0,0.0,0.76,0.96,3,1.0
BendersOCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,-3.0,0.96,100.0,100271.0,600.100804567337,2.3606152534484863,2.2380311489105225,91.0,76.0,0.56,0.96,4,1.0
Cart,synthetic100_30_4.csv,75,4,0.0,600,,,0.92,,,0.0029911994934082,,,,,0.56,0.88,4,
FlowOCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,-2.0,0.9733333333333334,99.99999999999716,101302.0,600.7809450626373,0.0,0.0,0.0,0.0,0.64,0.96,4,1.0
binOCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,1.9999999996999869,0.9733333333333334,100.0,125508.0,602.3373436927795,0.0,0.0,0.0,0.0,0.6,0.96,4,1.0
OCT,synthetic100_30_4.csv,75,4,0.0,600,9.0,1198.0,0.9733333333333334,0.1669449081803005,18347.0,601.5699799060822,0.0,0.0,0.0,0.0,0.76,0.92,4,1.0
BendersOCT,synthetic100_30_5.csv,75,5,0.0,600,9.0,-1.0,0.9866666666666668,100.0,64663.0,600.0415413379669,5.6153082847595215,5.470046043395996,189.0,172.0,0.64,0.96,1,1.0
Cart,synthetic100_30_5.csv,75,5,0.0,600,,,0.9466666666666668,,,0.0039880275726318,,,,,0.76,1.0,1,
FlowOCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,658.0,146.8866183757782,0.0,0.0,0.0,0.0,0.92,1.0,1,1.0
binOCT,synthetic100_30_5.csv,75,5,0.0,600,9.0,1.0,0.9866666666666668,99.99999999999982,82037.0,605.301305770874,0.0,0.0,0.0,0.0,0.76,1.0,1,1.0
OCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,2399.0,0.9866666666666668,0.0416840350145894,2221.0,202.0092496871948,0.0,0.0,0.0,0.0,0.72,0.96,1,1.0
BendersOCT,synthetic100_30_5.csv,75,5,0.0,600,9.0,-2.0,0.9733333333333334,100.0,83957.0,600.0527312755585,4.954323053359985,4.809962749481201,159.0,143.0,0.6,1.0,2,1.0
Cart,synthetic100_30_5.csv,75,5,0.0,600,,,0.96,,,0.0029926300048828,,,,,0.8,1.0,2,
FlowOCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,431.0,67.1545307636261,0.0,0.0,0.0,0.0,0.64,1.0,2,1.0
binOCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,0.0,1.0,0.0,6606.0,60.50149655342102,0.0,0.0,0.0,0.0,0.76,1.0,2,1.0
OCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,2398.0,0.9733333333333334,0.0834028356964136,2357.0,166.86398839950562,0.0,0.0,0.0,0.0,0.56,0.96,2,1.0
BendersOCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,13824.0,103.19201827049255,3.80794095993042,3.785311460494995,106.0,102.0,0.6,1.0,3,1.0
Cart,synthetic100_30_5.csv,75,5,0.0,600,,,0.96,,,0.0029599666595458,,,,,0.68,1.0,3,
FlowOCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,8443.0,184.3623249530792,0.0,0.0,0.0,0.0,0.8,1.0,3,1.0
binOCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,0.0,1.0,0.0,69773.0,329.3817529678345,0.0,0.0,0.0,0.0,0.64,1.0,3,1.0
OCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,2398.0,0.9733333333333334,0.0834028356964136,4662.0,288.69705510139465,0.0,0.0,0.0,0.0,0.64,1.0,3,1.0
BendersOCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,1412.0,20.803597450256348,3.942687749862671,3.911081552505493,96.0,91.0,0.84,1.0,4,1.0
Cart,synthetic100_30_5.csv,75,5,0.0,600,,,0.96,,,0.0029919147491455,,,,,0.8,0.92,4,
FlowOCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,-0.0,1.0,0.0,79.0,45.80883240699768,0.0,0.0,0.0,0.0,0.64,1.0,4,1.0
binOCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,0.0,1.0,0.0,10672.0,166.0496780872345,0.0,0.0,0.0,0.0,0.72,1.0,4,1.0
OCT,synthetic100_30_5.csv,75,5,0.0,600,2.0,2398.0,0.9733333333333334,0.0834028356964136,444.0,42.901042222976685,0.0,0.0,0.0,0.0,0.64,0.96,4,1.0
BendersOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,548.0,4.850070238113403,1.0755529403686523,1.0439400672912598,21.0,19.0,1.0,1.0,1,1.0
Cart,synthetic100_100_2.csv,75,2,0.0,600,,,0.92,,,0.0019958019256591,,,,,0.68,0.96,1,
FlowOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,4960.0,43.15448451042175,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
binOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,515.0,6.2287468910217285,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
OCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,1.0,3.0570333003997803,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
BendersOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,2817.0,23.819795846939087,1.1329905986785889,1.0944328308105469,35.0,26.0,1.0,1.0,2,1.0
Cart,synthetic100_100_2.csv,75,2,0.0,600,,,0.9066666666666666,,,0.0039901733398437,,,,,0.8,0.88,2,
FlowOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,13507.0,100.37715578079224,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
binOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,925.0,12.572765588760376,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
OCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,2049.0,16.629749536514282,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
BendersOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,541.0,5.512596368789673,1.052717924118042,1.0437428951263428,21.0,19.0,1.0,1.0,3,1.0
Cart,synthetic100_100_2.csv,75,2,0.0,600,,,0.8933333333333333,,,0.0029935836791992,,,,,0.84,0.88,3,
FlowOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,591.0,12.15658974647522,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
binOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,11439.0,126.39687585830688,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
OCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,1.0,1.463508367538452,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
BendersOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,-0.0,1.0,0.0,2071.0,13.63207459449768,1.0586261749267578,1.043003797531128,23.0,21.0,1.0,1.0,4,1.0
Cart,synthetic100_100_2.csv,75,2,0.0,600,,,0.9333333333333332,,,0.0062644481658935,,,,,0.72,0.92,4,
FlowOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,-4.263256414560601e-14,1.0,0.0,9684.0,74.55767917633057,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
binOCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,0.0,1.0,0.0,523.0,8.357811689376831,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
OCT,synthetic100_100_2.csv,75,2,0.0,600,2.0,300.0,1.0,0.0,1565.0,9.42345929145813,0.0,0.0,0.0,0.0,1.0,1.0,4,1.0
BendersOCT,synthetic100_100_3.csv,75,3,0.0,600,9.0,-6.0,0.92,100.0,78861.0,600.0450255870819,2.975339412689209,2.8946175575256348,55.0,43.0,0.72,0.92,1,1.0
Cart,synthetic100_100_3.csv,75,3,0.0,600,,,0.88,,,0.0029904842376708,,,,,0.6,0.84,1,
FlowOCT,synthetic100_100_3.csv,75,3,0.0,600,9.0,-4.0,0.9466666666666668,99.99999999999432,84397.0,601.0023765563965,0.0,0.0,0.0,0.0,0.76,0.96,1,1.0
binOCT,synthetic100_100_3.csv,75,3,0.0,600,2.0,0.0,1.0,0.0,18248.0,237.8560049533844,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0
OCT,synthetic100_100_3.csv,75,3,0.0,600,9.0,599.0,0.9866666666666668,0.1669449081803005,12698.0,601.8232576847076,0.0,0.0,0.0,0.0,0.96,0.96,1,1.0
BendersOCT,synthetic100_100_3.csv,75,3,0.0,600,9.0,-5.0,0.9333333333333332,100.0,75952.0,600.030473947525,3.6878645420074463,3.5472660064697266,68.0,57.0,0.76,0.92,2,1.0
Cart,synthetic100_100_3.csv,75,3,0.0,600,,,0.76,,,0.0029871463775634,,,,,0.8,0.68,2,
FlowOCT,synthetic100_100_3.csv,75,3,0.0,600,9.0,-6.0,0.92,99.9999999999981,80485.0,601.1019892692566,0.0,0.0,0.0,0.0,0.56,1.0,2,1.0
binOCT,synthetic100_100_3.csv,75,3,0.0,600,9.0,5.000000000000859,0.9333333333333332,99.99999999999996,67326.0,603.0830545425415,0.0,0.0,0.0,0.0,0.8,0.92,2,1.0
OCT,synthetic100_100_3.csv,75,3,0.0,600,9.0,593.0,0.9066666666666666,1.1804384485666104,11674.0,602.1510455608368,0.0,0.0,0.0,0.0,0.76,0.92,2,1.0
BendersOCT,synthetic100_100_3.csv,75,3,0.0,600,9.0,-6.0,0.92,100.0,148638.0,600.0318796634674,3.051769733428955,2.968376398086548,61.0,51.0,0.72,0.88,3,1.0
Cart,synthetic100_100_3.csv,75,3,0.0,600,,,0.9333333333333332,,,0.0029914379119873,,,,,0.72,0.88,3,
FlowOCT,synthetic100_100_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,6492.0,123.22868323326112,0.0,0.0,0.0,0.0,0.88,1.0,3,1.0
binOCT,synthetic100_100_3.csv,75,3,0.0,600,9.0,2.999999999999994,0.96,99.99999999999994,57035.0,603.0783219337463,0.0,0.0,0.0,0.0,0.68,0.92,3,1.0
