approach,dataset,nrow,depth,lambda,time_limit,status,obj_value,train_acc,gap,node_count,solving_time,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc,test_acc,calib_acc,sample,warmstart
OCT,balance-scale_enc.csv,468,4,0.1,600,9.0,-inf,,inf,10.0,604.0975666046143,0.0,0.0,0.0,0.0,,,2,
BendersOCT,balance-scale_enc.csv,468,4,0.1,600,9.0,-96.3999999999973,0.7735042735042735,92.50345781466122,16514.0,600.0143511295319,6.953108787536621,6.526458024978638,136.0,118.0,0.7579617834394905,0.7806451612903226,3,
FlowOCT,balance-scale_enc.csv,468,4,0.1,600,9.0,-94.89999999999723,0.7777777777777778,99.47312961010934,573.0,602.7483470439911,0.0,0.0,0.0,0.0,0.7006369426751592,0.8,3,
binOCT,balance-scale_enc.csv,468,4,0.1,600,9.0,104.99999999999724,0.7756410256410257,100.0,25914.0,605.336757183075,0.0,0.0,0.0,0.0,0.6751592356687898,0.7612903225806451,3,
OCT,balance-scale_enc.csv,468,4,0.1,600,9.0,-inf,,inf,1.0,604.1347351074219,0.0,0.0,0.0,0.0,,,3,
BendersOCT,balance-scale_enc.csv,468,4,0.1,600,9.0,-100.09999999999724,0.7649572649572649,93.09440559440556,18193.0,600.0181515216827,8.703002452850342,8.294161558151245,177.0,160.0,0.7707006369426752,0.7548387096774194,4,
FlowOCT,balance-scale_enc.csv,468,4,0.1,600,9.0,-93.09999999999724,0.782051282051282,99.45121738314592,631.0,602.758553981781,0.0,0.0,0.0,0.0,0.732484076433121,0.7290322580645161,4,
binOCT,balance-scale_enc.csv,468,4,0.1,600,9.0,104.99999999999994,0.7756410256410257,100.0,19052.0,605.2256622314453,0.0,0.0,0.0,0.0,0.7261146496815286,0.7354838709677419,4,
OCT,balance-scale_enc.csv,468,4,0.1,600,9.0,-inf,,inf,1.0,604.3213987350464,0.0,0.0,0.0,0.0,,,4,
BendersOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-96.6999994624398,0.7735042735042735,99.47436822372298,11176.0,600.0232818126678,15.557301759719849,14.927009344100952,257.0,233.0,0.7961783439490446,0.7483870967741936,1,
FlowOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-84.3999999999973,0.8055555555555556,99.5676487367491,537.0,605.5853772163391,0.0,0.0,0.0,0.0,0.7961783439490446,0.7806451612903226,1,
binOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,94.0,0.7991452991452992,100.0,10202.0,614.2591500282288,0.0,0.0,0.0,0.0,0.7707006369426752,0.7935483870967742,1,
OCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-inf,,inf,1.0,610.389262676239,0.0,0.0,0.0,0.0,,,1,
BendersOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-89.19999999999732,0.7927350427350427,99.4394618834076,9830.0,600.0219247341156,15.379095554351808,14.612203359603882,224.0,198.0,0.7898089171974523,0.832258064516129,2,
FlowOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-86.49999999999727,0.7991452991452992,99.57515510479256,516.0,605.4416902065277,0.0,0.0,0.0,0.0,0.7770700636942676,0.7935483870967742,2,
binOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,96.99999910908994,0.7927350427350427,100.0,10597.0,613.9844379425049,0.0,0.0,0.0,0.0,0.8089171974522293,0.8064516129032258,2,
OCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-inf,,inf,1.0,610.5536737442017,0.0,0.0,0.0,0.0,,,2,
BendersOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-85.79999999999728,0.8012820512820513,99.39054087902656,11569.0,600.0249562263489,13.728326082229614,13.041053295135498,210.0,185.0,0.732484076433121,0.8064516129032258,3,
FlowOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-78.69999999999732,0.8183760683760684,99.52133241543338,545.0,605.8338820934296,0.0,0.0,0.0,0.0,0.7197452229299363,0.832258064516129,3,
binOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,88.99999974999699,0.8098290598290598,100.0,9686.0,614.0070507526398,0.0,0.0,0.0,0.0,0.7452229299363057,0.8193548387096774,3,
OCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-inf,,inf,1.0,610.7462153434753,0.0,0.0,0.0,0.0,,,3,
BendersOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-100.69999999999732,0.7649572649572649,99.56000305553424,11745.0,600.0466923713684,17.44532799720764,16.992465257644653,275.0,258.0,0.7388535031847133,0.7612903225806451,4,
FlowOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-80.59999999999724,0.8141025641025641,99.49117030829478,513.0,605.7945609092712,0.0,0.0,0.0,0.0,0.7388535031847133,0.8,4,
binOCT,balance-scale_enc.csv,468,5,0.1,600,9.0,85.99999949999994,0.8162393162393162,100.0,10202.0,614.1943612098694,0.0,0.0,0.0,0.0,0.6624203821656051,0.7935483870967742,4,
OCT,balance-scale_enc.csv,468,5,0.1,600,9.0,-inf,,inf,1.0,611.4601056575775,0.0,0.0,0.0,0.0,,,4,
BendersOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,-254.8999999999944,0.7816358024691358,0.0,2663.0,57.00869679450989,3.0571446418762207,2.8766043186187744,34.0,29.0,0.7662037037037037,0.7757009345794392,1,
FlowOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,-254.8999999999943,0.7816358024691358,0.0,1069.0,90.20667123794556,0.0,0.0,0.0,0.0,0.7662037037037037,0.7757009345794392,1,
binOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,282.9999999999839,0.7816358024691358,0.0,14104.0,127.14935278892516,0.0,0.0,0.0,0.0,0.7662037037037037,0.7757009345794392,1,
OCT,car_evaluation_enc.csv,1296,2,0.1,600,9.0,4410.6,0.7816358024691358,5.75431914025303,865.0,602.0322391986847,0.0,0.0,0.0,0.0,0.7662037037037037,0.7757009345794392,1,
BendersOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,-252.19999999999425,0.7839506172839507,0.0,1274.0,46.88454294204712,3.302539825439453,3.062276601791382,29.0,23.0,0.7592592592592593,0.7616822429906542,2,
FlowOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,-252.1999999999944,0.7839506172839507,0.0,910.0,85.26545429229736,0.0,0.0,0.0,0.0,0.7592592592592593,0.7616822429906542,2,
