approach,dataset,depth,obs_count,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_solv_time,std_solve_time,mean_gap,std_gap,mean_train_cart,mean_test_cart,enc_features
BendersOCT,balance-scale_enc.csv,2,468.0,0.6816239316239316,0.00971380462748282,0.6815286624203821,0.02895579978128631,4.71415650844574,0.7496405710937136,0.0,0.0,0.6800213675213675,0.6863057324840764,21
BendersOCT,balance-scale_enc.csv,3,468.0,0.7414529914529915,0.009713804627482793,0.7229299363057324,0.024668683733805263,600.0188999772072,0.001490195175294584,6.0763719890266,2.193044654930939,0.7013888888888888,0.697452229299363,21
BendersOCT,balance-scale_enc.csv,4,468.0,0.7644230769230769,0.005884156567613401,0.732484076433121,0.020141895924639365,600.0231305360794,0.0029315642414783813,54.719583013068345,4.976174973393253,0.7232905982905983,0.697452229299363,21
BendersOCT,balance-scale_enc.csv,5,468.0,0.8044871794871795,0.01783473507912949,0.7468152866242038,0.03385396755647987,600.0447728037834,0.004605009022451153,100.0,0.0,0.7916666666666666,0.7292993630573248,21
BendersOCT,breast-cancer_enc.csv,2,207.0,0.78743961352657,0.011833283781561264,0.7071428571428571,0.03400680204068024,10.221587598323822,2.0090420023801254,0.0,0.0,0.7765700483091788,0.7428571428571429,39
BendersOCT,breast-cancer_enc.csv,3,207.0,0.821256038647343,0.005578263470431191,0.6785714285714286,0.08767596495010462,600.0176511406898,0.00262380722938658,73.44663742690055,1.4391181462007467,0.7934782608695652,0.7071428571428571,39
BendersOCT,breast-cancer_enc.csv,4,207.0,0.8526570048309179,0.010056357485343621,0.6785714285714286,0.07046975517594642,600.0222426652908,0.0014037853037574721,100.0,0.0,0.8200483091787439,0.7178571428571429,39
BendersOCT,breast-cancer_enc.csv,5,207.0,0.8768115942028986,0.008367395205646787,0.6964285714285714,0.05875696513930031,600.0362132191658,0.003910689121756385,100.0,0.0,0.8538647342995169,0.725,39
BendersOCT,car_evaluation_enc.csv,2,1296.0,0.7816358024691358,0.0032736425054933006,0.7662037037037037,0.009820927516479798,34.41727578639984,5.776212806355467,0.004430753649866825,0.00886150729973365,0.7816358024691358,0.7662037037037037,20
BendersOCT,car_evaluation_enc.csv,3,1296.0,0.8097993827160493,0.0049806884596288485,0.7928240740740741,0.014942065378886602,600.098036468029,0.10018815665495191,60.296680311741696,6.280268459684708,0.808641975308642,0.7962962962962963,20
BendersOCT,car_evaluation_enc.csv,4,1296.0,0.8346836419753086,0.007082391879122597,0.8090277777777778,0.013431246285130602,600.049046754837,0.026531458114893026,100.0,0.0,0.8225308641975309,0.7962962962962963,20
BendersOCT,car_evaluation_enc.csv,5,1296.0,0.8697916666666666,0.010416666666666647,0.8559027777777778,0.028811463890815733,600.0611280202866,0.0250149921847071,100.0,0.0,0.8682484567901234,0.859375,20
BendersOCT,kr-vs-kp_enc.csv,2,2397.0,0.8475177304964538,0.03770497802669794,0.8516896120150188,0.05227186081078448,365.64260202646255,188.50366324027283,19.056207521818603,38.04934971476155,0.7743012098456403,0.7643929912390488,39
BendersOCT,kr-vs-kp_enc.csv,3,2397.0,0.9045682102628285,0.004107061445034679,0.903316645807259,0.012321184335104169,600.0691958665848,0.0580532416670111,100.0,0.0,0.9045682102628285,0.903316645807259,39
BendersOCT,kr-vs-kp_enc.csv,4,2397.0,0.9424280350438048,0.003777799390128315,0.9361702127659575,0.011333398170384815,600.149090051651,0.15911925633130253,100.0,0.0,0.9424280350438048,0.9361702127659575,39
BendersOCT,kr-vs-kp_enc.csv,5,2397.0,0.9424280350438048,0.003777799390128315,0.9361702127659575,0.011333398170384815,600.1009239554405,0.031002792223689103,100.0,0.0,0.9424280350438048,0.9361702127659575,39
BendersOCT,monk1_enc.csv,2,93.0,0.8387096774193549,0.0291184172209174,0.7016129032258065,0.1065818688258011,1.40446138381958,1.4541632904053094,0.0,0.0,0.7688172043010753,0.6612903225806451,16
BendersOCT,monk1_enc.csv,3,93.0,0.932795698924731,0.016129032258064627,0.846774193548387,0.06650170363899446,4.964869260787964,1.5882938774242044,0.0,0.0,0.8817204301075269,0.782258064516129,16
